aX,aY,aZ,gX,gY,gZ
-0.317,-0.898,-0.166,-58.228,9.949,32.532
-0.345,-0.912,-0.248,-55.054,-6.348,36.743
-0.421,-0.825,-0.299,-58.167,-24.78,34.18
-0.538,-0.757,-0.357,-68.726,-39.856,28.992
-0.589,-0.737,-0.413,-87.891,-53.162,23.437
-0.675,-0.755,-0.375,-106.75,-64.941,19.409
-0.664,-0.747,-0.424,-118.408,-65.002,19.226
-0.582,-0.716,-0.464,-129.272,-60.303,19.47
-0.501,-0.761,-0.457,-145.569,-55.908,15.625
-0.401,-0.76,-0.453,-160.522,-53.955,10.132
-0.299,-0.726,-0.409,-173.95,-55.115,1.221
-0.274,-0.718,-0.204,-183.411,-60.791,-11.658
-0.354,-0.753,-0.033,-178.101,-55.176,-19.409
-0.312,-0.417,-0.005,-164.978,-38.147,-10.559
-0.324,-0.127,0.052,-158.752,-31.372,3.235
-0.505,-0.218,0.021,-167.664,-35.706,7.385
-0.646,-0.201,-0.027,-176.331,-47.974,22.644
-0.626,-0.136,0.027,-192.322,-73.486,43.64
-0.666,-0.069,0.35,-213.745,-95.642,58.228
-0.582,-0.144,0.767,-216.98,-78.857,55.42
-0.221,-0.305,0.461,-215.393,-20.691,36.621
-0.057,-0.285,0.347,-217.834,-0.671,19.104
-0.03,-0.235,0.551,-221.191,-9.094,-7.141
-0.223,-0.25,0.834,-215.515,-8.972,-40.1
-0.573,-0.28,1.101,-203.369,9.033,-43.762
-0.341,-0.007,0.976,-197.998,60.73,-11.414
-0.093,0.261,0.996,-193.909,99.365,18.799
-0.377,0.262,0.946,-199.707,112.854,36.743
-0.382,0.136,1.195,-218.018,84.106,54.993
-0.118,0.186,1.361,-230.774,42.236,76.782
0.14,0.229,1.643,-252.625,13.733,95.459
0.269,0.107,1.902,-263.55,-9.766,94.543
0.314,-0.064,2.119,-245.117,-19.531,77.576
0.281,-0.117,2.162,-188.11,-14.465,53.04
0.229,-0.262,2.047,-119.385,3.052,29.114
0.276,-0.274,1.81,-61.401,12.817,10.01
0.271,-0.203,1.495,-23.376,9.521,-3.113
0.199,-0.164,1.37,-7.996,-7.446,-10.01
0.069,0.062,1.189,-6.897,-14.465,-10.62
-0.038,0.195,0.865,-31.189,2.258,0.549
0.026,0.272,1.018,-73.792,20.081,25.513
0.14,0.11,1.227,-107.422,52.734,41.992
0.237,-0.073,1.312,-123.474,89.172,39.734
0.321,-0.357,1.611,-132.446,88.745,40.039
0.388,-0.302,2.123,-120.178,52.49,44.006
0.346,-0.398,1.983,-87.219,41.992,36.072
0.278,-0.262,1.947,-65.491,10.437,25.635
0.119,-0.318,1.867,-32.227,-16.235,13.306
0.157,-0.32,1.674,7.751,-4.456,2.93
0.128,-0.328,1.392,29.419,-1.099,-6.042
0.085,-0.348,1.269,36.865,-1.221,-11.475
-0.002,-0.303,1.116,40.649,1.892,-13.306
-0.054,-0.253,0.983,38.391,10.742,-17.761
-0.18,-0.226,0.821,25.94,19.958,-18.86
-0.274,-0.29,0.619,14.587,17.151,-15.381
